SITE,SITE CODE,SITENUM,TREATMENT,CORNER,ORGANIC,MINERAL,ROCK,CWD,LITTER,LICHEN_SUM,SEEDLVASC_SUM,MOSS_SUM,FORB_SUM,DECID_TREE_SUM,DECID_SHRUB_SUM,DECID_TOTAL,GRAM_SUM,EVERGREEN_SHRUB,CONIFER_SUM,,Achilla,ALCR,ALVI,ALNUS,AUPA,AUTU,ARAL,BENE,BRAR,BRPL,BRPS,BRYUM,CECU,CENI,CEPE,CEPU,CERATODON,CHAN,CHCA,CLBE,CLBO,CLCE,CLDE,CLCH,CLGR,CLNI,CLRA,CLSQ,CLADONIA,COCA,DIAC,DIPO,DISC,DICRANIUM,ERVA,EQAR,EQSC,EQSY,EQUISETUM,HYSP,LEDE,LEGR,LEPU,LEDUM,LIPE,LUAR,LYAN,MAPO,MALA,MARCHANTIA,MEPA,MUMU,NEES,NEPE,NERE,NEPHROMA,OECU,OXOX,PEAP,PEFR,PENE,PENI,PETASITES,PELITIGERA,PIGL,PIME,PINUS,PLSC,POAA,POAR,POCO,POCU,POJO,POJU,POPA,POPI,POPR,POA,POSC,POST,POTR,POLYTRICHIUM,PTCR,PYSC,RHRU,ROAC,RUAR,RUBUS,RUCH,SAGL,SAPU,SA_4,SA_5,SA_6,SA_7,SA_8,SALIX,SPAN,SPBE,TIAU,VAAL,VACA,VAOV,VAUL,VAVI,VACCINIUM,UNK_MOSS,UNK_LICHEN,UNK_GRAM,UNK BACK,UNK MICRO,UNK FORB,UNK_CLADONIA,UNK_RUBUS
DALTON,32_2,32,2,SE,100,0,0,5,0,8,1,212,1,1,0,1,0,37,0,,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0
DALTON,32_2,32,2,NE,100,0,0,2,0,11,1,369,0,0,0,0,0,58,0,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,10,0,0,0,0,10,4,35,0,0,35,0,0,1,0,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5,50,0,1,0,0,0,0,0,0
DALTON,32_2,32,2,NW,95,5,0,5,0,0,5,471,8,3,0,3,1,20,0,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,80,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,3,70,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,20,0,0,1,0,0,0,0,0
DALTON,32_2,32,2,SW,100,0,0,20,60,2,0,166,0,1,0,1,0,40,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,20,30,0,0,0,2,20,0,0,0
DALTON,39_2,39,2,SE,100,0,0,3,80,3,7,394,2,4,0,4,140,12,0,,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,60,60,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,2,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,70,70,0,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,10,1,11,0,0,70,0,0,1,0,0
DALTON,39_2,39,2,SW,100,0,0,10,100,1,1,192,1,6,0,6,150,10,0,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,10,10,0,1,70,0,0,0,0,0
DALTON,39_2,39,2,NW,100,0,0,30,80,0,20,334,0,11,0,11,76,0,1,,0,10,0,10,10,0,0,0,20,0,0,20,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,75,75,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DALTON,39_2,39,2,NE,100,0,0,10,80,0,0,245,3,15,0,15,80,21,0,,0,10,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0
DALTON,56_2,56,2,SE,50,50,0,60,50,0,2,128,3,0,0,0,28,25,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,8,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DALTON,56_2,56,2,SW,75,25,0,10,30,0,33,195,1,5,0,5,0,0,0,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,30,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DALTON,56_2,56,2,NW,70,30,0,10,70,0,71,248,0,22,0,22,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,0,0,0,0,0,0,20,0,30,0,0,0,0,0,0,0,2,0,0,20,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DALTON,56_2,56,2,NE,50,50,0,30,20,40,15,133,2,2,0,2,3,10,1,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,3,0,10,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0
DALTON,57_2,57,2,NW,50,50,0,10,15,10,2,240,2,1,0,1,3,1,2,,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,60,60,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,25,0,0,0,3,0,20,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
DALTON,57_2,57,2,NE,75,25,0,5,0,2,15,91,1,7,0,7,0,0,0,,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,15,15,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
DALTON,57_2,57,2,SW,60,40,0,2,60,0,2,82,6,6,0,6,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,15,0,0,0,5,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
