SITE,SITECODE,TREAT,SPP,DBH,CAN,BROWSE,UNDERSTORY,START_END,STEM_TYPE,QUAD
STEESE,34_2,2,SALIX,0.3,100,Y,EQAR,START,CLUMP,2
STEESE,34_2,2,SALIX,0.3,100,N,EQAR,,CLUMP,2
STEESE,34_2,2,SALIX,1.1,100,Y,EQAR,,CLUMP,2
STEESE,34_2,2,SALIX,0.4,100,Y,EQAR,END,CLUMP,2
STEESE,34_2,2,SALIX,0.2,100,N,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.9,100,Y,EQAR,,IND,2
STEESE,34_2,2,SALIX,0.6,95,Y,CHAN,,IND,2
STEESE,34_2,2,SALIX,0.3,100,Y,EQAR,,IND,2
STEESE,34_2,2,SALIX,0.5,95,Y,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.5,95,Y,CHAN,,IND,2
STEESE,34_2,2,SALIX,0.2,100,N,EQAR,,IND,2
STEESE,34_2,2,SALIX,0.5,100,Y,MOSS,,IND,2
STEESE,34_2,2,SALIX,0.2,90,N,EQAR,,IND,2
STEESE,34_2,2,SALIX,0.5,70,Y,EQAR,,IND,2
STEESE,34_2,2,SALIX,0.4,50,Y,MOSS,,IND,2
STEESE,34_2,2,SALIX,0.5,20,Y,CHAN,START,CLUMP,2
STEESE,34_2,2,SALIX,0.4,20,Y,CHAN,END,CLUMP,2
STEESE,34_2,2,SALIX,0.5,100,N,EQAR,,IND,2
STEESE,34_2,2,SALIX,0.8,95,N,EQAR,,IND,2
STEESE,34_2,2,SALIX,0.3,100,Y,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.2,95,Y,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.7,40,Y,MOSS,,IND,2
STEESE,34_2,2,SALIX,0.4,95,Y,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.4,95,Y,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.8,95,Y,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.4,100,Y,EQAR,,IND,2
STEESE,34_2,2,SALIX,0.3,95,Y,EQAR,,IND,2
STEESE,34_2,2,SALIX,0.3,100,Y,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.9,95,Y,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.5,80,N,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.6,80,N,MOSS,,IND,2
STEESE,34_2,2,SALIX,0.3,100,N,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.3,100,Y,MOSS,,IND,2
STEESE,34_2,2,SALIX,0.5,95,Y,EQAR,,IND,2
STEESE,34_2,2,SALIX,1.1,95,Y,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.7,100,Y,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.2,5,N,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.3,95,N,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.5,95,Y,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.5,95,Y,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.7,100,Y,EQAR,,IND,2
STEESE,34_2,2,SALIX,1.1,90,Y,LITTER,,IND,2
STEESE,34_2,2,SALIX,0.9,95,Y,MOSS,,IND,2
STEESE,34_2,2,SALIX,0.5,90,Y,EQAR,,IND,2
STEESE,34_2,2,SALIX,0.5,95,Y,CHAN,,IND,2
STEESE,34_2,2,SALIX,0.4,95,N,LITTER,,IND,2
STEESE,34_2,2,BENE,0.3,95,N,MOSS,,IND,2
