Site,Plot,Treat,PhotoID,Date,BookTime,PhotoTime,Notes
DALTON,32_2,2,1383,6/6/18,,,
DALTON,39_2,2,1384,6/7/18,10:50 AM,,
DALTON,56_2,2,1385,6/7/18,3:30 PM,,
DALTON,57_2,2,1386,6/8/18,11:00 AM,,
DALTON,47_2,2,1394,6/8/18,2:40 PM,,
DALTON,37_3,3,1395,6/9/18,11:00 AM,,
DALTON,15_3,3,1399,6/9/18,3:00 PM,,
Outtake,55_3,3,1400,6/12/18,,1:21 PM,
DALTON,55_3,3,1401,6/12/18,10:00 AM,,
DALTON,54_3,3,1403,6/12/18,1:15 PM,,
DALTON,7_3,3,1409,6/13/18,9:30 AM,,
DALTON,12_1,1,1410,6/13/24,1:30 PM,,
Outtake,50_1,1,1415,6/13/18,,8:17 PM,
Outtake,50_1,1,1416,6/13/18,,8:18 PM,
DALTON,50_1,1,1417,6/13/18,5:00 PM,,
DALTON,64_1,1,1418,6/14/18,,,
DALTON,65_1,1,1424,6/14/18,,,
DALTON,52_1,1,1428,6/15/18,9:00 AM,,
DALTON,11_0,0,1435,6/15/18,11:45 AM,,
DALTON,58_0,0,1443,6/18/18,1:15 PM,,
DALTON,10_0,0,1445,6/18/18,3:30 PM,,
DALTON,41_1,1,1446,6/19/18,10:00 AM,,
DALTON,48_1,1,1448,6/19/18,12:00 PM,,
Outtake,44_0,0,1449,6/19/18,,6:22 PM,
DALTON,44_0,0,1450,6/19/18,3:00 PM,6:22 PM,
DALTON,16_2,2,1453,6/20/18,10:00 AM,,
Outtake,8_2,2,1473,6/20/18,1:15 PM,5:18 PM,
DALTON,8_2,2,1474,6/20/18,,17:19,
DALTON,40_2,2,1480,6/20/18,4:00 PM,,
Outtake,42_1,1,1499,6/21/18,,4:13 PM,
Outtake,42_1,1,1500,6/21/28,,4:13 PM,
DALTON,42_1,1,1501,6/21/18,1:00 PM,4:14 PM,
Outtake,34_2,2,1502,6/25/18,,2:44 PM,
STEESE,34_2,2,1503,6/25/18,11:30 AM,2:46 PM,
STEESE,22_3,3,1504,6/25/18,10:30 AM,,
STEESE,17_3,3,1505,6/26/18,1:45 PM,,
Outtake,25_3,3,1506,6/26/18,,7:25 PM,
STEESE,25_3,3,1507,6/26/18,4:00 PM,7:26 PM,
Outtake,35_3,3,1508,6/27/18,,3:43 PM,
STEESE,35_3,3,1509,6/27/18,12:30 PM,3:43 PM,
STEESE,24_3,3,1511,6/27/18,3:18 PM,,
STEESE,26_2,2,1512,7/1/18,12:00 PM,,
STEESE,33_1,1,1513,7/2/18,9:40 AM,,
STEESE,18_1,1,1516,7/2/18,1:20 PM,,
STEESE,29_1,1,1517,7/2/18,4:10 PM,,
STEESE,23_3,3,1518,7/3/18,10:00 AM,,
STEESE,2_3,3,1519,7/3/18,2:30 PM,,
STEESE,36_1,1,1520,7/4/18,11:00 AM,,
STEESE,20_1,1,1521,7/6/18,,6:08 PM,
STEESE,27_2,2,1522,7/7/18,11:40 AM,4:42 PM,
STEESE,4_2,2,1523,7/7/18,2:00 PM,,
STEESE,3_2,2,1524,7/7/18,4:00 PM,,
STEESE,19_2,2,1528,7/7/18,6:00 PM,,
STEESE,28_1,1,1529,7/8/18,,,
DALTON,14_3,3,NA,6/12/18,15:40,,resampled
STEESE,5_1,1,1530,7/8/18,,5:47 PM,
STEESE,1_0,0,NA,NA,,,
STEESE,31_0,0,NA,NA,,,
STEESE,9_0,0,NA,NA,,,
STEESE,6_0,0,NA,NA,,,
