"PhotoID","ratio","percentSky","Site","Plot","Treat","Date","BookTime","PhotoTime","Notes"
1394,0.766589712917648,0.433937607194356,"DALTON","47_2",2,"6/8/18","2:40 PM","",""
1395,0.44992178019453,0.310307622342335,"DALTON","37_3",3,"6/9/18","11:00 AM","",""
1399,0.846784174848918,0.458518210401165,"DALTON","15_3",3,"6/9/18","3:00 PM","",""
1401,1.30096766483837,0.565400237786373,"DALTON","55_3",3,"6/12/18","10:00 AM","",""
1403,0.660372149072074,0.397725383096274,"DALTON","54_3",3,"6/12/18","1:15 PM","",""
1409,0.978164089504055,0.494480763599996,"DALTON","7_3",3,"6/13/18","9:30 AM","",""
1410,1.36489333882224,0.577147948457575,"DALTON","12_1",1,"6/13/24","1:30 PM","",""
1417,2.6066027671545,0.722730762282155,"DALTON","50_1",1,"6/13/18","5:00 PM","",""
1418,1.11260047648106,0.526649732813801,"DALTON","64_1",1,"6/14/18","","",""
1424,2.28993051997295,0.69604221307135,"DALTON","65_1",1,"6/14/18","","",""
1428,2.01613727906952,0.668450104396939,"DALTON","52_1",1,"6/15/18","9:00 AM","",""
1435,0.248921836412999,0.199309379622925,"DALTON","11_0",0,"6/15/18","11:45 AM","",""
1443,0.210429225171918,0.173846781617513,"DALTON","58_0",0,"6/18/18","1:15 PM","",""
1445,0.17857905831299,0.151520644333022,"DALTON","10_0",0,"6/18/18","3:30 PM","",""
1446,2.54568447058484,0.717967007979405,"DALTON","41_1",1,"6/19/18","10:00 AM","",""
1448,2.78545461801638,0.735830936860098,"DALTON","48_1",1,"6/19/18","12:00 PM","",""
1450,0.164192689718561,0.141035664601411,"DALTON","44_0",0,"6/19/18","3:00 PM","6:22 PM",""
1453,0.752983720350496,0.429544046307482,"DALTON","16_2",2,"6/20/18","10:00 AM","",""
1474,2.69234784470441,0.729169611840822,"DALTON","8_2",2,"6/20/18","","17:19",""
1480,0.781060093954416,0.438536631417225,"DALTON","40_2",2,"6/20/18","4:00 PM","",""
1501,2.20533529537359,0.688020157690415,"DALTON","42_1",1,"6/21/18","1:00 PM","4:14 PM",""
1503,0.764200811867485,0.433171103157211,"STEESE","34_2",2,"6/25/18","11:30 AM","2:46 PM",""
1504,0.960123511206911,0.489828067322009,"STEESE","22_3",3,"6/25/18","10:30 AM","",""
1505,1.77299082456647,0.639378539899662,"STEESE","17_3",3,"6/26/18","1:45 PM","",""
1507,1.68723610913922,0.627870436617376,"STEESE","25_3",3,"6/26/18","4:00 PM","7:26 PM",""
1509,1.484656694488,0.597529911388395,"STEESE","35_3",3,"6/27/18","12:30 PM","3:43 PM",""
1511,1.03229322719717,0.507945021605398,"STEESE","24_3",3,"6/27/18","3:18 PM","",""
1512,1.00410281035787,0.501023602765453,"STEESE","26_2",2,"7/1/18","12:00 PM","",""
1513,1.43405216758387,0.589162461956337,"STEESE","33_1",1,"7/2/18","9:40 AM","",""
1516,0.967727988737234,0.491799676721711,"STEESE","18_1",1,"7/2/18","1:20 PM","",""
1517,0.820672548288681,0.450752415122677,"STEESE","29_1",1,"7/2/18","4:10 PM","",""
1518,1.65295109847971,0.623061276714427,"STEESE","23_3",3,"7/3/18","10:00 AM","",""
1519,2.28170405096615,0.695280261574594,"STEESE","2_3",3,"7/3/18","2:30 PM","",""
1520,3.50646546720836,0.778096602031775,"STEESE","36_1",1,"7/4/18","11:00 AM","",""
1521,1.78745453306813,0.641249753803408,"STEESE","20_1",1,"7/6/18","","6:08 PM",""
1522,1.90341328079563,0.655577796445856,"STEESE","27_2",2,"7/7/18","11:40 AM","4:42 PM",""
1523,2.36750248518571,0.703044020190277,"STEESE","4_2",2,"7/7/18","2:00 PM","",""
1524,2.37013203572095,0.70327572053536,"STEESE","3_2",2,"7/7/18","4:00 PM","",""
1528,2.64279043298076,0.725485169021448,"STEESE","19_2",2,"7/7/18","6:00 PM","",""
1529,2.47211034895862,0.711990720485042,"STEESE","28_1",1,"7/8/18","","",""
1530,2.59101208865386,0.721526974760237,"STEESE","5_1",1,"7/8/18","","5:47 PM",""
1383,NA,NA,"DALTON","32_2",2,"6/6/18","","",""
1384,NA,NA,"DALTON","39_2",2,"6/7/18","10:50 AM","",""
1385,NA,NA,"DALTON","56_2",2,"6/7/18","3:30 PM","",""
1386,NA,NA,"DALTON","57_2",2,"6/8/18","11:00 AM","",""
NA,NA,NA,"DALTON","14_3",3,"6/12/18","15:40","","resampled"
NA,NA,NA,"STEESE","1_0",0,NA,"","",""
NA,NA,NA,"STEESE","31_0",0,NA,"","",""
NA,NA,NA,"STEESE","9_0",0,NA,"","",""
NA,NA,NA,"STEESE","6_0",0,NA,"","",""
